SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
50.97307654,2.218412826,17.65654936,10.204699,5.334274478,0.1714228093,8.379550267,3.660381164,1.401633559,100,10
49.10508949,2.409759024,16.44835516,9.719028097,5.689431057,0.1799820018,10.0889911,4.139586041,2.219778022,100,5
51.40485951,2.059794021,16.31836816,9.309069093,5.429457054,0.199980002,8.619138086,4.149585041,2.509749025,100,10
55.65,0.96,18.22,7.62,5.24,0.21,8.39,2.88,0.83,100,7.01
61.94,1.12,17.57,4.74,3.23,0.16,6.26,3.56,1.42,100,1.02
66.59,1.09,15.66,4.24,1.98,0.13,4.45,3.54,2.32,100,1.02
56.42,0.93,18.81,7.11,4.7,0.22,8.09,2.73,0.99,100,7.01
64.15,1.15,16.6,4.3,2.65,0.09,5.53,3.8,1.73,100,1.02
65.31,1.05,17,3.71,2.31,0.09,4.98,3.74,1.81,100,1.02
57.98,1.13,16.7,7.38,4.38,0.17,7.89,3.18,1.19,100,1.04
59.92,1.23,16.35,7.21,3.32,0.18,6.9,3.35,1.54,100,1.04
58.48,1.2,16.46,7.57,4.09,0.18,7.46,3.27,1.29,100,1.04
56.82,0.91,19.33,7.01,3.72,0.19,7.75,3.19,1.08,100,7.01
57.28,0.85,19.34,7.01,3.5,0.19,7.55,3.19,1.09,100,7.01
54.38,0.99,18.27,9.29,4.57,0.18,8.41,2.92,0.99,100,7.03
61.79,1.44,15.2,7.39,2.82,0.16,5.91,3.22,2.07,100,1.04
59.31,1.3,17.77,6.96,2.91,0.21,6.55,3.43,1.56,100,7.03
58.1,1.41,16.95,9.12,2.88,0.2,6.59,3.13,1.62,100,7.03
56.43,1.41,16.64,9.2,3.93,0.2,7.55,3.2,1.44,100,7.04
54.87,1.49,16.16,10.87,4.17,0.15,8.22,2.74,1.33,100,7.02
55.11,1.5,16.38,11.22,3.67,0.19,7.57,2.96,1.4,100,7.03
59.22407759,2.099790021,14.80851915,9.739026097,2.489751025,0.1699830017,6.089391061,2.639736026,2.739726027,100,7.04
50.35175879,1.547738693,14.85427136,11.40703518,7.557788945,0.2311557789,11.54773869,2.412060302,0.09045226131,100,2
65.92576608,0.8092360811,16.83211049,4.628830384,1.111350885,0.09710832974,5.470435909,3.12904618,1.996115667,100,12
63.7,0.84,18.54,4.51,1.35,0.12,6.2,2.94,1.8,100,12
59.7959796,0.9400940094,17.92179218,7.460746075,2.080208021,0.1800180018,7.200720072,2.780278028,1.640164016,100,12
51.07834286,0.9930785435,20.3230013,7.74400642,5.476978634,0.07021767479,10.60286889,3.059484402,0.6520212659,100,4
53.21110109,1.041979762,19.04618776,8.676485322,4.558661457,0.1402665064,9.868750626,2.8253682,0.6311992786,100,2
53.76980148,1.142971726,18.46801684,8.652496491,4.501704432,0.1303388811,9.3342691,3.248445959,0.7519550832,100,2
53.27852416,1.163023862,18.83898135,9.043513134,4.742330058,0.1403649489,9.645077201,2.496490876,0.6516944055,100,2
55.47188755,1.616465863,17.81124498,8.75502008,4.568273092,0.2208835341,7.03815261,3.13253012,1.385542169,100,2
54.5117305,1.644275115,18.36775617,9.083617405,4.611991177,0.1503910166,7.098455986,3.489071586,1.042711049,100,1
54.61291617,1.283594063,18.27115925,8.945046129,3.92097874,0.210589651,8.684316085,3.279181709,0.792218211,100,2
53.7627935,1.485049167,16.79711017,9.562512543,5.498695565,0.1505117399,8.860124423,2.699177202,1.184025687,100,2
55.69823435,1.264044944,16.78370787,8.527287319,4.022873194,0.03009630819,8.246388443,4.554574639,0.8727929374,100,4
55.46193199,1.665162002,16.59143344,9.328919651,3.98234527,0.2407463136,7.904503962,3.450697161,1.374260207,100,1
55.68706118,1.775325978,16.46940822,10.78234704,3.821464393,0.260782347,6.68004012,2.918756269,1.604814443,100,2
55.29419714,1.485485783,18.13697844,8.882803498,3.804048052,0.0007104467586,7.487651311,3.854233382,1.05389194,100,4
57.9021119,1.060954859,19.0171154,8.207386648,2.512261035,0.2001801621,6.275648083,3.763387048,1.060954859,100,4
54.82963112,2.372097698,16.47401749,10.12162026,3.43753141,0.2211277515,7.327369585,3.206352397,2.010252287,100,2
55.36252259,1.877887126,18.0558345,8.093994778,3.223538863,0.1205061257,7.983530829,3.675436835,1.606748343,100,1
53.92570281,1.907630522,17.98192771,9.146586345,3.955823293,0.01004016064,7.96184739,3.4437751,1.666666667,100,1
58.90136327,1.293103448,16.41940658,8.931435445,2.646351243,0.1303127506,6.265036087,4.009623095,1.403368083,100,4
