SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
47.55,2.21,7.77,8.75,13.38,0.17,19.22,0.63,0.36,100.04,10
49.56,1.11,3.59,6.62,15.08,0.17,22.36,0.35,0.03,98.87,5
49.7,0.84,4.08,6.75,14.64,0.13,22.26,0.67,0.1,99.17,10
52.1,0.34,2.9,6.6,16.8,0.25,21.1,0.3,0.004138288955,100.3941383,7.01
50,0.9,4.6,7,16.8,0.29,20,0.34,0.009850293155,99.93985029,1.02
51.8,0.83,5.2,7.2,15,0.3,19.1,0.6,0.002345100416,100.0323451,1.02
51,0.5,4.3,7.2,15.9,0.21,21,0.39,0.004403238847,100.5044032,7.01
50.6,0.95,4.4,7.3,16.14,0.36,20.2,0.4,0.00132159202,100.3513216,1.02
50,1.1,4.6,7.8,15.9,0.33,20.6,0.38,0.001936800001,100.7119368,1.02
51.2,0.6,3.9,8,17.5,0.3,19.2,0.34,0.004269368004,101.0442694,1.04
51.8,0.74,3.5,8,17,0.33,19.4,0.33,0.0003653665658,101.1003654,1.04
51,0.8,4.6,8.1,16.6,0.3,19.4,0.32,0.002747219587,101.1227472,1.04
48.7,0.69,6.3,8.7,14.3,0.25,20.4,0.48,0.004317241584,99.82431724,7.01
48.9,0.69,6.6,9.2,14,0.29,20.6,0.44,0.001493296637,100.7214933,7.01
47.7,0.76,7.7,9.6,14.2,0.27,19.3,0.56,0.009641616549,100.0996416,7.03
50.9,0.8,3,9.8,16.6,0.4,17.6,0.3,0.002278980071,99.40227898,1.04
48.8,0.9,6.7,10.4,13.6,0.32,18.2,0.6,0.00651175251,99.52651175,7.03
48.4,0.76,7,10.8,14.1,0.28,18.9,0.6,0.004475834353,100.8444758,7.03
48.2,0.76,6.5,10.8,14,0.31,18.1,0.58,0.001422967065,99.25142297,7.04
51.1,0.5,4.4,10.9,16.2,0.38,16.3,0.2,0.002689014423,99.98268901,7.02
50.1,0.65,5.9,11,14.9,0.4,17.1,0.6,0.006158112143,100.6561581,7.03
50,0.8,6.5,12.9,11,0.3,18,0.8,0.006261218047,100.3062612,7.04
50.42,0.62,6.72,7.21,15.55,0.19,17.27,0.61,0.008838736003,98.59883874,2
48.1,0.85,8.32,12.3,10.5,0.29,18.5,0.71,0.009319896843,99.5793199,12
46.9,1.07,9.14,10.7,10,0.3,20.3,0.59,0.003589264117,99.00358926,12
48.3,0.71,7.8,11.2,12.2,0.4,19.2,0.6,0.007205297735,100.4172053,12
51.43,0.56,3.48,4.52,16.45,0.15,22.76,0.19,0.00896898674,99.54896899,4
49.62,0.72,5.58,6.97,14.65,0.16,20.86,0.23,0.009452538302,98.79945254,2
49,0.79,6.11,7.07,14.59,0.13,21.22,0.22,0.002303267636,99.13230327,2
48.34,0.84,5.88,7.19,15.1,0.13,20.1,0.34,0.006971111183,97.92697111,2
50.34,0.67,2.69,7.4,15.95,0.22,21.59,0.25,0.003361112909,99.11336111,2
50.75,0.71,5.89,7.47,14.1,0.23,19.68,0.57,0.006046305605,99.40604631,1
49.36,0.84,5.55,7.85,14.36,0.28,20.47,0.28,0.009477183728,98.99947718,2
49.71,0.86,5.05,7.94,15.27,0.28,19.42,0.4,0.009966767193,98.93996677,2
49.25,0.9,5.27,7.98,14.17,0.18,20.75,0.25,0.00646962007,98.75646962,4
51.36,0.95,4.39,8.89,15.54,0.35,19.05,0.33,0.009946001789,100.869946,1
49.91,0.83,4.79,8.99,15.19,0.17,18.67,0.46,0.0002867037192,99.0102867,2
49.23,0.96,5.08,9.36,14.09,0.25,18.85,0.34,0.007679979963,98.16767998,4
50.54,0.68,3.9,9.56,13.59,0.24,18.11,0.27,0.007248066682,96.89724807,4
50.6,1.02,4.71,9.59,15.65,0.33,16.28,0.5,0.0004345406316,98.68043454,2
50.06,0.98,4.16,9.7,15.23,0.29,19.26,0.36,0.007678409063,100.0476784,1
50.81,1.04,2.97,10.31,15.56,0.23,18.38,0.34,0.008907533949,99.64890753,1
51.12,1.1,4.63,10.33,16.23,0.3,17.3,0.26,0.003946546126,101.2739465,4
50.09,0.93,5.13,11.58,16.91,0.31,15,0.34,0.007024675007,100.2970247,4
50.8,0.96,4.06,11.88,15.54,0.27,16.42,0.44,0.007409614586,100.3774096,2
51.6,1.35,1.82,11.4,10.5,0.99,20.8,1.54,0.002463981028,100.002464,0.5
49.9,1.1,2.34,11.6,11.3,1.46,21.4,0.86,0.005549454929,99.96554945,0.5
50.9,1.27,1.88,12,11,0.95,21.2,0.74,0.0002118178929,99.94021182,0.5
50.2,2.13,2.45,12.3,9.6,1.03,20.5,1.68,0.00367313924,99.89367314,0.5
50.9,1.02,1.31,12.5,10.7,0.94,21.3,1.27,0.008586047277,99.94858605,2
50.3,1.38,2.25,12.9,10.1,1.04,20.4,1.66,0.007090512339,100.0370905,2
50.5,1,1.65,13.1,10.7,1.11,21.3,0.71,0.00008005930854,100.0700801,2
50,1.11,2.79,14.5,7.1,1.25,18.6,2.04,0.003881570803,97.39388157,2
50.6,0.96,2.13,14.9,7.2,1.3,19.9,1.7,0.003541350395,98.69354135,2
49.2,1.44,3.86,10.62,11.3,1.04,20.7,1.87,0.008776779771,100.0387768,1
51.4,0.8,1.75,10.9,13.9,0.29,19.8,0.33,0.01,99.18,0
48.6,1.87,10.2,12,12.6,0.16,14.3,1.77,0.03,101.53,16
47.3,1.78,8.86,14.1,12.9,0.22,13.1,1.14,0.03,99.43,13
48.26,1.35,9.69,14.9,14.1,0.25,9.52,1.14,0.06,99.27,16
48.8,1.16,5.22,16.3,13.2,0.25,13.9,0.63,0.04,99.5,10
48.8,1.4,7.59,16.4,12.7,0.22,12.3,0.85,0.02,100.28,13
47.9,1.09,8.07,20.4,19.3,0.28,2.44,0.3,0.05,99.83,13
50.4,0.9,1.21,22.5,17.9,0.31,4.8,0.11,0.05,98.18,5
50.6,0.83,1.81,24.4,16.9,0.33,4.15,0.17,0.01,99.2,7
49.57,0.96,1.7,17.45,15.5,0.48,11.98,0.17,0.05,97.86,0
51.06,0.61,0.97,22.6,17.3,0.73,6.2,0.09,0.02,99.58,0
50.93,0.83,1.15,26.25,16.41,0.51,4.19,0.08,0.01,100.36,5
49.84,0.79,0.95,30.89,12.7,0.59,4.42,0.08,0.01,100.27,5
51.6,0.22,5.6,3.24,19,0.12,17.7,0.52,1.25,99.25,10
52.4,0.05,4.23,3.5,21.3,0.1,15.7,0.3,1.67,99.25,10
51.3,0.18,5.8,3.6,19.4,0.09,17.3,0.47,1.3,99.44,10
51.8,0.14,5,3.6,19.6,0.07,17.2,0.44,1.46,99.31,10
52.1,0.13,5.3,3.7,20.6,0.11,16.6,0.36,1.5,100.4,10
52.9,0.39,2.6,5.7,18,0.13,20,0.3,0.6,100.62,0
52.7,0.46,2.2,6.7,18.2,0.2,18.2,0.35,0.7,99.71,0
53,0.5,1.9,7,17.7,0.16,18.9,0.25,0.5,99.91,0
50.5,0.55,7.06,5.25,16.5,0.13,18.9,0.33,0.0006528975135,99.2206529,8
51.2,0.33,7.25,5.89,17.7,0.16,17.5,0.44,0.0006562710817,100.4706563,8
50.2,0.63,6.75,6.36,15.6,0.2,19.2,0.26,0.004360602201,99.2043606,8
50.4,1.55,4.5,6.66,15.6,0.4,19,0.52,0.004555206334,98.63455521,2
50.7,0.64,6.1,7.5,16.5,0.18,17.6,0.36,0.009838154301,99.58983815,8
51,1.85,3.07,7.53,16.5,0.55,18.1,0.36,0.004533278866,98.96453328,2
51.8,0.72,2.06,8.13,16.4,0.4,19.3,0.08,0.009190037916,98.89919004,2
